colour	fill	x	y	group
#000000	#FFFFFF	1.72413793103448	2.91666666666667	6
#000000	#FFFFFF	6.89655172413793	20.4166666666667	6
#000000	#FFFFFF	12.0689655172414	2.91666666666667	6
#000000	#FFFFFF	1.72413793103448	2.91666666666667	6
#000000	#FFFFFF	15.5172413793103	26.25	77
#000000	#FFFFFF	20.6896551724138	43.75	77
#000000	#FFFFFF	25.8620689655172	26.25	77
#000000	#FFFFFF	15.5172413793103	26.25	77
#000000	#FFFFFF	29.3103448275862	2.91666666666667	98
#000000	#FFFFFF	34.4827586206897	20.4166666666667	98
#000000	#FFFFFF	39.6551724137931	2.91666666666667	98
#000000	#FFFFFF	29.3103448275862	2.91666666666667	98
#000000	#FFFFFF	29.3103448275862	49.5833333333333	99
#000000	#FFFFFF	34.4827586206897	67.0833333333333	99
#000000	#FFFFFF	39.6551724137931	49.5833333333333	99
#000000	#FFFFFF	29.3103448275862	49.5833333333333	99
#000000	#FFFFFF	43.1034482758621	26.25	100
#000000	#FFFFFF	48.2758620689655	43.75	100
#000000	#FFFFFF	53.448275862069	26.25	100
#000000	#FFFFFF	43.1034482758621	26.25	100
#000000	#FFFFFF	43.1034482758621	72.9166666666667	101
#000000	#FFFFFF	48.2758620689655	90.4166666666667	101
#000000	#FFFFFF	53.448275862069	72.9166666666667	101
#000000	#FFFFFF	43.1034482758621	72.9166666666667	101
#000000	#FFFFFF	56.8965517241379	2.91666666666667	102
#000000	#FFFFFF	62.0689655172414	20.4166666666667	102
#000000	#FFFFFF	67.2413793103448	2.91666666666667	102
#000000	#FFFFFF	56.8965517241379	2.91666666666667	102
#000000	#FFFFFF	56.8965517241379	49.5833333333333	103
#000000	#FFFFFF	62.0689655172414	67.0833333333333	103
#000000	#FFFFFF	67.2413793103448	49.5833333333333	103
#000000	#FFFFFF	56.8965517241379	49.5833333333333	103
#000000	#FFFFFF	56.8965517241379	96.25	104
#000000	#FFFFFF	62.0689655172414	113.75	104
#000000	#FFFFFF	67.2413793103448	96.25	104
#000000	#FFFFFF	56.8965517241379	96.25	104
#000000	#FFFFFF	70.6896551724138	26.25	105
#000000	#FFFFFF	75.8620689655172	43.75	105
#000000	#FFFFFF	81.0344827586207	26.25	105
#000000	#FFFFFF	70.6896551724138	26.25	105
#000000	#FFFFFF	70.6896551724138	72.9166666666667	106
#000000	#FFFFFF	75.8620689655172	90.4166666666667	106
#000000	#FFFFFF	81.0344827586207	72.9166666666667	106
#000000	#FFFFFF	70.6896551724138	72.9166666666667	106
#000000	#FFFFFF	70.6896551724138	119.583333333333	107
#000000	#FFFFFF	75.8620689655172	137.083333333333	107
#000000	#FFFFFF	81.0344827586207	119.583333333333	107
#000000	#FFFFFF	70.6896551724138	119.583333333333	107
#000000	#FFFFFF	84.4827586206897	2.91666666666667	108
#000000	#FFFFFF	89.6551724137931	20.4166666666667	108
#000000	#FFFFFF	94.8275862068966	2.91666666666667	108
#000000	#FFFFFF	84.4827586206897	2.91666666666667	108
#000000	#FFFFFF	84.4827586206897	49.5833333333333	109
#000000	#FFFFFF	89.6551724137931	67.0833333333333	109
#000000	#FFFFFF	94.8275862068966	49.5833333333333	109
#000000	#FFFFFF	84.4827586206897	49.5833333333333	109
#000000	#FFFFFF	84.4827586206897	96.25	110
#000000	#FFFFFF	89.6551724137931	113.75	110
#000000	#FFFFFF	94.8275862068966	96.25	110
#000000	#FFFFFF	84.4827586206897	96.25	110
#000000	#FFFFFF	84.4827586206897	142.916666666667	111
#000000	#FFFFFF	89.6551724137931	160.416666666667	111
#000000	#FFFFFF	94.8275862068966	142.916666666667	111
#000000	#FFFFFF	84.4827586206897	142.916666666667	111
